report,prefetch_depth,client_threads,query_qps,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,p999_latency_ns,recall_at_10,average_gpu_query_us,average_gpu_beam_selection_us,average_gpu_rdma_issue_us,average_gpu_rdma_wait_us,average_gpu_graph_validation_us,average_gpu_neighbor_decode_us,average_gpu_pq_score_us,average_gpu_visited_us,average_gpu_beam_merge_us,average_gpu_exact_us,average_gpu_other_us,graph_reads_per_query,graph_retry_reads_per_query,rdma_ops_per_query,rdma_bytes_per_query,average_parent_batch_size,average_graph_shard_batches_per_query,average_graph_rounds_per_query,dynamic_pq_reads_per_query,exact_reads_per_query
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_2/concurrency_64/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_104424.json,2,64,3706.0351643011527,17266537,17229347,18429178,18951855,19917003,0.9316999999999941,17195.865603425907,230.99692649740214,375.73112368841714,2432.1799821465106,1622.8940919563747,117.28109273202679,357.39679403175,95.73718768534151,11385.84022222547,178.57803021221392,307.2338689777354,138.62955077374113,0.0,266.62955077374113,134795.78624375263,1.9887729320606735,80.46094422723685,69.70607279439372,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_2/concurrency_8/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_104056.json,2,8,488.66803110943886,16369300,16327898,17084095,17726494,18655018,0.9316999999999941,16299.120872644806,227.99233070745308,340.81669947311883,1886.9554373284227,1586.6915494228178,119.48612970825448,321.89537737650693,71.16892990263781,11175.136302555971,174.99145831841355,305.25433901137313,138.66639384793766,0.0,266.6663938479377,134826.43968148413,1.9887600524801519,80.55515201118557,69.7250498746739,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_32/concurrency_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_113608.json,32,1,192.5795072423201,5191656,5176901,5866556,6291947,6716820,0.9453999999999948,5120.180742449156,51.93991414971874,71.01607152747728,465.7232435742103,474.47290826482043,110.98275980095197,442.14710813500653,92.69882077022935,2979.0414953699697,174.00577520553873,169.58392475118998,260.2993942016443,0.0,388.2993942016443,236025.09597576805,23.4880285814689,17.01241886629165,11.08221549112938,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_32/concurrency_256/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_114646.json,32,256,40962.33433500864,6248004,6219237,7110863,7604312,8216092,0.9453999999999948,6181.429280079734,54.57400457945575,96.50300851792603,707.0494515434507,573.8283050517223,141.31514281384284,686.2551584544174,176.4752270996699,3155.7821042759892,283.3580280257729,201.1130082671056,263.22549405313566,0.0,391.22549405313566,238459.6110522089,23.5910822302448,16.715918531579774,11.157838859790377,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_32/concurrency_64/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_114317.json,32,64,11389.346638475685,5617853,5589021,6390448,6850397,7403839,0.9453999999999948,5554.599941201734,53.94299622034662,81.43604741687103,489.0274300669012,533.0381653689808,120.21272918044589,554.9425228505874,150.87395136055815,3105.12361388419,186.77140687829606,181.7024141807971,262.621051337731,0.0,390.621051337731,237956.71471299217,23.539350341113934,16.76893484890166,11.15668221646015,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_32/concurrency_8/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_113936.json,32,8,1515.188967295872,5278431,5246780,5998445,6445743,6952030,0.9453999999999948,5208.9350235386,52.56911370023483,72.58473193494987,467.57076899724467,491.12183438835393,110.0469782487942,445.11780664800443,94.75234734833276,3037.3652069691852,174.3013148287677,173.11818054875735,264.0018973871055,0.0,392.0018973871055,239105.57862607174,23.641237122541106,16.638198527187633,11.167008562990501,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_4/concurrency_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_105157.json,4,1,109.44636702361223,9135931,9087852,9801550,10243103,10876992,0.9319999999999939,9064.452706334705,127.17703639409167,194.47875506319474,1081.7940918988884,892.6841431399421,73.3984652809502,284.88611900411144,60.93865319019339,5901.1379741129895,174.7228912745546,185.54912334399268,147.25095172833866,0.0,275.2509517283387,141968.79183797777,3.917211681995961,48.70100502512563,37.590756814374906,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_4/concurrency_256/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_110213.json,4,256,25012.400720174457,10232987,10199122,10904617,11380305,12191429,0.9319999999999939,10170.281280938385,132.65593893824266,245.40270506266745,1571.5512354842783,979.9938853163621,70.08029796218733,395.63764331765276,93.21210973460231,6190.878093295116,198.51914637298927,194.62169205612506,147.94260371370882,0.0,275.9426037137088,142544.24628980574,3.9186286951040574,48.209683399643616,37.75366722000189,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_4/concurrency_64/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_105849.json,4,64,6386.231475794281,10019747,9962300,10683098,11114071,11833133,0.9319999999999939,9951.847883978304,131.0019539897993,215.76742327740644,1630.0191113545238,938.1941359925471,69.03785318044876,320.99586275095675,83.83113494481464,6102.613006654341,179.68131311805453,187.72870664142366,147.89761056970292,0.0,275.8976105697029,142506.81199399283,3.9180954884186896,48.37783086753034,37.74732162778226,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_4/concurrency_8/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_105532.json,4,8,846.222401152805,9452208,9416374,10206399,10645163,11229322,0.9319999999999939,9382.282811223586,128.81094207022863,197.12736466313487,1283.5628550721783,907.4779758256691,68.78183185300432,283.6491444551667,58.579142800874415,6005.955364318491,173.93403666029897,185.25760352127932,148.054827973295,0.0,276.054827973295,142637.61687378143,3.919416564372879,47.959834176891114,37.7747109911968,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_8/concurrency_1/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_110537.json,8,1,167.19027746453895,5980374,5978652,6505084,6944848,7598904,0.934399999999994,5907.896911379155,78.55918372127798,116.98515850072273,884.9183993420725,590.2644590041369,71.40323112196582,279.63217295519115,56.300990878731994,3415.2374534715645,175.19235921846186,151.56959228430443,162.44539699945173,0.0,290.4453969994517,154610.57030354385,7.375760401202158,30.743308577979366,22.024223695359616,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_8/concurrency_256/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_111607.json,8,256,38132.62899874215,6711772,6682984,7377782,7845745,8558282,0.934399999999994,6649.4920620493185,81.52970800345173,154.85378828992128,1077.7955361400775,683.0671545634506,72.24567366145695,414.4247356701309,95.41800994020667,3587.8669184498353,219.06407460760013,163.1358475891792,163.3940223715289,0.0,291.39402237152893,155399.82661311206,7.385941745973192,30.2487451005329,22.122300444707832,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_8/concurrency_64/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_111242.json,8,64,10357.74661652377,6177473,6117057,6833216,7298051,8000207,0.934399999999994,6113.4576621027045,80.92551054586528,132.04174987510046,809.0672468006812,638.0866555234559,68.85933020863251,325.94216656731015,83.13212769760877,3542.6614326013137,183.0578466458943,155.284527824238,163.23201064522175,0.0,291.23201064522175,155265.03285682452,7.381222125182946,30.362040516524953,22.11449647183948,0.0,128.0
/home/xjs/experiment/dvstor/motivation/results/sweep/depth_8/concurrency_8/04_gpu_persistent_gpunetio/sift100m_04_gpu_persistent_gpunetio_20260725_110901.json,8,8,1328.1382413393535,6022085,5992980,6604447,7007447,7634033,0.934399999999994,5951.618393471113,79.41150279827336,118.31535217462229,850.5270013740401,604.4474519336948,67.8107994591678,280.38670783767503,55.4579532198966,3478.0802816154696,175.38031889650154,152.0433879875019,163.46978994127392,0.0,291.4697899412739,155462.86523113988,7.38644585785019,30.16221829041811,22.131048285900718,0.0,128.0
